,SPY
,close
time,
2019-10-31 00:00:00-04:00,303.26
2019-11-01 00:00:00-04:00,306.18
2019-11-04 00:00:00-05:00,307.34
2019-11-05 00:00:00-05:00,307.0
2019-11-06 00:00:00-05:00,307.14
2019-11-07 00:00:00-05:00,308.22
2019-11-08 00:00:00-05:00,308.97
2019-11-11 00:00:00-05:00,308.39
2019-11-12 00:00:00-05:00,308.94
2019-11-13 00:00:00-05:00,309.07
2019-11-14 00:00:00-05:00,309.53
2019-11-15 00:00:00-05:00,311.83
2019-11-18 00:00:00-05:00,311.99
2019-11-19 00:00:00-05:00,311.89
2019-11-20 00:00:00-05:00,310.79
2019-11-21 00:00:00-05:00,310.29
2019-11-22 00:00:00-05:00,311.0
2019-11-25 00:00:00-05:00,313.35
2019-11-26 00:00:00-05:00,314.02
2019-11-27 00:00:00-05:00,315.44
2019-11-29 00:00:00-05:00,314.27
2019-12-02 00:00:00-05:00,311.6
2019-12-03 00:00:00-05:00,309.47
2019-12-04 00:00:00-05:00,311.47
2019-12-05 00:00:00-05:00,312.04
2019-12-06 00:00:00-05:00,314.82
2019-12-09 00:00:00-05:00,313.87
2019-12-10 00:00:00-05:00,313.55
2019-12-11 00:00:00-05:00,314.41
2019-12-12 00:00:00-05:00,317.14
2019-12-13 00:00:00-05:00,317.28
2019-12-16 00:00:00-05:00,319.51
2019-12-17 00:00:00-05:00,319.56
2019-12-18 00:00:00-05:00,319.57
2019-12-19 00:00:00-05:00,320.91
2019-12-20 00:00:00-05:00,320.95
2019-12-23 00:00:00-05:00,321.22
2019-12-24 00:00:00-05:00,321.26
2019-12-26 00:00:00-05:00,322.91
2019-12-27 00:00:00-05:00,322.86
2019-12-30 00:00:00-05:00,321.1
2019-12-31 00:00:00-05:00,321.89
2020-01-02 00:00:00-05:00,324.84
2020-01-03 00:00:00-05:00,322.44
2020-01-06 00:00:00-05:00,323.67
2020-01-07 00:00:00-05:00,322.76
2020-01-08 00:00:00-05:00,324.42
2020-01-09 00:00:00-05:00,326.62
2020-01-10 00:00:00-05:00,325.7
2020-01-13 00:00:00-05:00,327.94
2020-01-14 00:00:00-05:00,327.43
2020-01-15 00:00:00-05:00,328.17
2020-01-16 00:00:00-05:00,330.9
2020-01-17 00:00:00-05:00,332.01
2020-01-21 00:00:00-05:00,331.31
2020-01-22 00:00:00-05:00,331.39
2020-01-23 00:00:00-05:00,331.74
2020-01-24 00:00:00-05:00,328.75
2020-01-27 00:00:00-05:00,323.52
2020-01-28 00:00:00-05:00,326.89
2020-01-29 00:00:00-05:00,326.62
2020-01-30 00:00:00-05:00,327.66
2020-01-31 00:00:00-05:00,321.74
2020-02-03 00:00:00-05:00,324.14
2020-02-04 00:00:00-05:00,329.08
2020-02-05 00:00:00-05:00,332.82
2020-02-06 00:00:00-05:00,333.96
2020-02-07 00:00:00-05:00,332.2
2020-02-10 00:00:00-05:00,334.69
2020-02-11 00:00:00-05:00,335.29
2020-02-12 00:00:00-05:00,337.41
2020-02-13 00:00:00-05:00,337.08
2020-02-14 00:00:00-05:00,337.6
2020-02-18 00:00:00-05:00,336.7
2020-02-19 00:00:00-05:00,338.31
2020-02-20 00:00:00-05:00,336.98
2020-02-21 00:00:00-05:00,333.49
2020-02-24 00:00:00-05:00,322.41
2020-02-25 00:00:00-05:00,312.7
2020-02-26 00:00:00-05:00,311.55
2020-02-27 00:00:00-05:00,297.55
2020-02-28 00:00:00-05:00,296.16
2020-03-02 00:00:00-05:00,309.08
2020-03-03 00:00:00-05:00,300.34
2020-03-04 00:00:00-05:00,312.91
2020-03-05 00:00:00-05:00,302.45
2020-03-06 00:00:00-05:00,297.42
2020-03-09 00:00:00-04:00,274.4
2020-03-10 00:00:00-04:00,288.44
2020-03-11 00:00:00-04:00,274.36
2020-03-12 00:00:00-04:00,248.1
2020-03-13 00:00:00-04:00,270.93
2020-03-16 00:00:00-04:00,239.41
