date,close,volume,open,high,low
1/9/2017,226.46,46939676,226.91,227.070125,226.4163125
1/10/2017,226.46,63771939,226.48,227.45,226.01
1/11/2017,227.1,74650016,226.36,227.1,225.59
1/12/2017,226.53,72113181,226.5,226.75,224.955
1/13/2017,227.05,62717865,226.73,227.4,226.69
1/17/2017,226.25,61240814,226.31,226.78,225.8
1/18/2017,226.75,54793302,226.535,226.8,225.9
1/19/2017,225.91,66608787,226.84,227,225.41
1/20/2017,226.74,129168623,226.7,227.31,225.971875
1/23/2017,226.15,75061645,226.35,226.805,225.27
1/24/2017,227.6,95555295,226.4,228.08,226.27
1/25/2017,229.57,84437712,228.7,229.57,228.51
1/26/2017,229.33,59970719,229.4,229.71,229.01
1/27/2017,228.97,59711118,229.42,229.59,228.76
1/30/2017,227.55,79737252,228.17,228.2,226.41
1/31/2017,227.53,75880805,226.98,227.6,226.32
2/1/2017,227.62,79117651,228.255,228.59,226.94
2/2/2017,227.77,69657560,227.2,228.1,226.82
2/3/2017,229.34,80563168,228.82,229.55,228.46
2/6/2017,228.93,57790108,228.87,229.326,228.54
2/7/2017,228.94,57931151,229.38,229.655625,228.72
2/8/2017,229.24,51566218,228.61,229.39,228.31
2/9/2017,230.6,65955245,229.56,230.95,229.52
2/10/2017,231.51,66015892,231,231.77,230.621625
2/13/2017,232.77,55182050,232.08,233.07,232.05
2/14/2017,233.7,71108983,232.56,233.71,232.16
2/15/2017,234.92,86785826,233.45,235.14,233.39
2/16/2017,234.72,84722437,234.96,235.155,233.85
2/17/2017,235.09,77204104,233.95,235.09,233.93
2/21/2017,236.49,88946051,235.52,236.69,235.51
2/22/2017,236.28,62115185,236.02,236.54,235.83
2/23/2017,236.44,74615902,236.88,236.9,235.56
2/24/2017,236.74,82381612,235.46,236.7931875,235.41
2/27/2017,237.11,56515440,236.64,237.31,236.35
2/28/2017,236.47,96961938,236.67,236.95,236.015
3/1/2017,239.78,149158170,238.39,240.32,238.37
3/2/2017,238.27,70245978,239.56,239.57,238.21
3/3/2017,238.42,81974300,238.17,238.61,237.73
3/6/2017,237.71,55391533,237.5,238.12,237.01
3/7/2017,237,65103737,237.36,237.77,236.76
3/8/2017,236.56,78168795,237.34,237.64,236.4
3/9/2017,236.86,90683918,236.7,237.24,235.74
3/10/2017,237.69,81991652,237.97,238.02,236.59
3/13/2017,237.81,57256824,237.62,237.86,237.24
3/14/2017,236.9,59880778,237.18,237.24,236.19
3/15/2017,238.95,96081750,237.56,239.44,237.29
3/16/2017,238.48,78343951,239.11,239.2,238.1
3/17/2017,237.03,89002111,237.75,237.97,237.03
3/20/2017,236.77,52536979,237.03,237.36,236.32
3/21/2017,233.73,131809275,237.47,237.61,233.58
3/22/2017,234.28,97569204,233.77,234.61,233.05
3/23/2017,234.03,100410277,234,235.34,233.6
3/24/2017,233.86,112504853,234.38,235.04,232.96
3/27/2017,233.62,87454452,231.93,233.92,231.61
3/28/2017,235.32,93483915,233.27,235.81,233.14
3/29/2017,235.54,61950354,234.99,235.81,234.725
3/30/2017,236.29,56737890,235.47,236.52,235.27
3/31/2017,235.74,73733094,235.9,236.51,235.68
4/3/2017,235.33,85546486,235.8,236.03,233.91
4/4/2017,235.48,56466195,235,235.58,234.555
4/5/2017,234.78,108800604,236.26,237.39,234.54
4/6/2017,235.44,69135757,234.94,236.04,234.425
4/7/2017,235.2,74412311,235.15,236,234.64
4/10/2017,235.34,67615302,235.36,236.255,234.73
4/11/2017,235.06,88045276,234.9,235.18,233.34
